rok;do 6 let;6 až 15 let;15 až 18 let;18 až 26 let;nad 26 let;celkem;dìti a mládež do 18 let;dospìlí nad 18 let;celkem;osoby do 18 let;osoby od 18 do 26 let;osoby nad 26 let;celkem
2003;134;29240;6037;6944;8230;50585;35411;15174;50585;35411;6944;8230;50585
2004;142;27441;6031;7051;8092;48757;33614;15143;48757;33614;7051;8092;48757
2005;182;25614;5965;6967;7995;46723;31761;14962;46723;31761;6967;7995;46723
2006;211;23948;5811;6958;8081;45009;29970;15039;45009;29970;6958;8081;45009
2007;432;23140;5635;7074;8219;44500;29207;15293;44500;29207;7074;8219;44500
2008;452;23067;5358;7150;8522;44549;28877;15672;44549;28877;7150;8522;44549
2009;540;23348;4982;7150;8617;44637;28870;15767;44637;28870;7150;8617;44637
2010;612;24023;4669;7043;8910;45257;29304;15953;45257;29304;7043;8910;45257
2011;616;24434;4382;6980;9176;45588;29432;16156;45588;29432;6980;9176;45588
2012;747;25359;4190;6885;9510;46691;30296;16395;46691;30296;6885;9510;46691
2013;862;26564;4077;6706;9893;48102;31503;16599;48102;31503;6706;9893;48102
2014;1019;28185;4226;6640;10368;50438;33430;17008;50438;33430;6640;10368;50438
2015;1290;29757;4524;6510;10947;53028;35571;17457;53028;35571;6510;10947;53028
2016;1284;31466;4753;6550;11480;55533;37503;18030;55533;37503;6550;11480;55533
2017;1394;32667;5130;6587;12062;57840;39191;18649;57840;39191;6587;12062;57840
2018;1511;34049;5523;6837;12600;60520;41083;19437;60520;41083;6837;12600;60520
2019;1657;36572;5868;7056;13230;64383;44097;20286;64383;44097;7056;13230;64383
